#SampleID,mean,std
g__Ammoniphilus,5.83215e-05,0.0008614563
g__Ammopiptanthus,7.9699945e-05,0.0029783621
g__Amnibacterium,2.4358212e-06,8.429467e-05
g__Amoeba,1.281775e-07,1.5154277e-05
g__Amoebidium,2.6422944e-08,9.139426e-06
g__Amoeboaphelidium,2.3903258e-06,0.00053709804
g__Amoebogregarina,8.051523e-09,2.4240492e-06
g__Amoebophrya,0.0033647276,0.028135987
g__Amonardia,1.473304e-07,2.465432e-05
g__Amorosia,1.41559395e-08,4.9818664e-06
g__Amorphochlora,1.0067823e-07,1.6656213e-05
g__Amorphus,3.0194003e-06,0.0003940165
g__Amphiacon,1.5592148e-07,1.6065052e-05
g__Amphiascoides,1.1045365e-08,2.440301e-06
g__Amphibacillus,1.4837585e-06,0.0002171798
g__Amphibelone,3.6241244e-07,3.107974e-05
g__Amphibiocystidium,2.4178721e-08,5.2800524e-06
g__Amphibiothecum,2.9699658e-09,1.136299e-06
g__Amphicorina,7.315031e-06,0.0013532633
g__Amphidiniella,7.448384e-08,9.2473665e-06
g__Amphidiniopsis,2.8604323e-05,0.0022475973
g__Amphidinium,0.00022275088,0.0051003885
g__Amphigerontia,7.1362655e-10,3.6618292e-07
g__Amphileptus,1.01519945e-05,0.0006232375
g__Amphilonche,8.7939775e-08,1.3697126e-05
g__Amphimedon,8.8356835e-08,2.1558752e-05
g__Amphioplus,7.967993e-07,0.00015859114
g__Amphipholis,3.3605713e-07,6.817601e-05
g__Amphipleura,1.3448725e-09,6.9009394e-07
g__Amphiplicatus,8.623557e-05,0.001633875
g__Amphiprora,1.88396e-08,3.9728925e-06
g__Amphiroa,2.7407489e-06,0.0003900558
g__Amphisamytha,7.734297e-07,0.0002311607
g__Amphiscolops,1.0461305e-07,2.5692263e-05
g__Amphisiella,9.0233525e-06,0.00043529688
g__Amphisorus,1.318221e-08,5.1696798e-06
g__Amphitrema,1.24148e-08,4.472886e-06
g__Amphitritides,4.7951183e-08,7.705649e-06
g__Amphogona,1.405278e-07,4.8392914e-05
g__Amphora,0.00014964845,0.0051563033
g__Amphorellopsis,1.2390299e-05,0.00062319625
g__Amphorides,7.664607e-07,0.00011259031
g__Amphritea,3.745225e-05,0.0028468324
g__Amplexidiscus,4.147786e-10,2.1283519e-07
g__Amplicaria,1.5876488e-08,3.2178891e-06
g__Amplimerlinius,2.9579125e-08,1.00046445e-05
g__Ampullimonas,6.2516515e-06,0.00096395775
g__Ampulloclitocybe,3.084395e-09,9.23322e-07
g__Amurotaenia,2.0867695e-08,1.0707832e-05
g__Amycolatopsis,0.00013066037,0.002421673
g__Amylax,1.9843476e-06,0.00016224003
g__Amylibacter,0.0015847653,0.01639604
g__Amylomyces,1.0813885e-09,4.089011e-07
g__Amyloodinium,1.9317005e-08,4.8362635e-06
g__Amyloporia,4.2991957e-07,0.00021655564
g__Anabaena,3.1715605e-05,0.0019123178
g__Anabaenopsis,3.7742006e-07,0.00014489029
g__Anadenobolus,2.222382e-08,1.1201994e-05
g__Anaeroarcus,1.0373482e-08,1.3921168e-06
